"","aircraft","dep_time","est_arr_time","flight_no","origin"
"964","E75L","Sat 06:14AM","Sat 07:12AM"," RPA4428","Jacksonville Intl (KJAX)"
"969","A319","Sat 06:11AM","Sat 06:52AM"," AAL1977","Tampa Intl (KTPA)"
"971","E145","Sat 05:53AM","Sat 06:44AM"," ENY3831","Gainesville Rgnl (KGNV)"
"972","E75L","Sat 06:13AM","Sat 06:39AM"," RPA4549","Key West Intl (KEYW)"
"981","B763","Sat 04:52AM","Sat 06:42AM"," UPS1332","Louisville Muhammad Ali International Airport (KSDF)"
"989","B77L","Sat 04:20AM","Sat 05:40AM"," KAL9267","Hartsfield-Jackson Intl (KATL)"
"999","B763","Sat 12:51AM","Sat 02:58AM"," GTI3509","Baltimore/Washington Intl (KBWI)"
"1008","B744","Sat 03:06AM","Sat 03:22AM"," GTI8387","Fort Lauderdale Intl (KFLL)"
"1013","A320","Fri 10:47PM","Sat 01:11AM"," UAL1537","Newark Liberty Intl (KEWR)"
"1014","B734","Fri 11:51PM","Sat 12:31AM"," SWQ505","Jose Marti Int'l (HAV / MUHA)"
"1015","A321","Fri 11:03PM","Sat 12:23AM"," DAL2008","Hartsfield-Jackson Intl (KATL)"
"1016","AT46","Fri 11:17PM","Sat 12:10AM"," BHS845","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"1017","","Fri 11:28PM","Sat 12:05AM"," SWQ704","Jose Marti Int'l (HAV / MUHA)"
"1018","B738","Fri 08:56PM","Fri 11:50PM"," AAL29","Boston Logan Intl (KBOS)"
"1021","","Sat 12:59AM","Sat 01:33AM"," SWQ3150","Jose Marti Int'l (HAV / MUHA)"
